,PartA001 y,PartA001 z,PartA001 GPx,PartA001 GPy,PartA001 GPz,PartA002 x,PartA002 y,PartA002 z,PartA002 GPx,PartA002 GPy,PartA002 GPz,PartA003 x,PartA003 y,PartA003 z,PartA003 GPx,PartA003 GPy,PartA003 GPz,PartB1 x,PartB1 y,PartB1 z,PartB1 GPx,PartB1 GPy,PartB1 GPz,PartB2 x,PartB2 y,PartB2 z,PartB2 GPx,PartB2 GPy,PartB2 GPz,PartC1 x,PartC1 y,PartC1 z,PartC1 GPx,PartC1 GPy,PartC1 GPz,Measure1 x,Measure1 y,Measure1 z,Measure1 GPx,Measure1 GPy,Measure1 GPz,PointsPlaneDistance,PointsPlaneDistance001,PointsPlaneDistance002,PointsPlaneDistance003,PointsPlaneDistance004,PointsPlaneDistance005,MeasurePointPlane,MeasurePointPlane001,MeasurePointPlane002,MeasurePointPlane,MeasurePointPlane001,MeasurePointPlane002
0,50.0,0.0,-80.0,50.0,0.0,-80.0,-45.0,0.0,-80.0,-45.0,0.0,80.0,0.0,0.0,80.0,3.1e-15,0.0,79.92375300607793,-0.08321276878007056,-0.10784437817338832,79.92375300607793,69.91678723121993,9.892155621826612,-80.07032773035972,0.22368306594247783,-0.05372144363602238,-80.07032773035972,70.22368306594248,9.946278556363978,0.4841325783096804,49.65597044116278,0.4361893222918294,110.48413257830968,49.65597044116278,10.43618932229183,0.09681805658316707,0.15714957860515827,0.016387955222370073,-109.90318194341684,-69.84285042139484,20.01638795522237,-0.09481468527677617,-0.25409165026887626,0.49686385228324736,-0.06479627177160785,0.2509030423533859,0.18225072973385148,0.0,0.0,0.0,29.59418917392211,79.4492974783057,-132.77602329849768
1,50.0,0.0,-80.0,50.0,0.0,-80.0,-45.0,0.0,-80.0,-45.0,0.0,80.0,0.0,0.0,80.0,3.1e-15,0.0,79.92375300607793,-0.08321276878007056,-0.10784437817338832,79.92375300607793,69.91678723121993,9.892155621826612,-80.07032773035972,0.22368306594247783,-0.05372144363602238,-80.07032773035972,70.22368306594248,9.946278556363978,0.4841325783096804,49.65597044116278,0.4361893222918294,110.48413257830968,49.65597044116278,10.43618932229183,0.09681805658316707,0.15714957860515827,0.016387955222370073,-109.90318194341684,-69.84285042139484,20.01638795522237,-0.09481468527677617,-0.25409165026887626,0.49686385228324736,-0.06479627177160785,0.2509030423533859,0.18225072973385148,0.0,0.0,0.0,29.59418917392211,79.4492974783057,-132.77602329849768
2,50.0,0.0,-80.0,50.0,0.0,-80.0,-45.0,0.0,-80.0,-45.0,0.0,80.0,0.0,0.0,80.0,3.1e-15,0.0,80.1381626382905,-0.3917329740138147,0.009781063113810884,80.1381626382905,69.60826702598618,10.009781063113811,-80.21904943049297,-0.049366815337478887,-0.4735313628840665,-80.21904943049297,69.95063318466252,9.526468637115933,-0.09582247129060228,50.30632391460052,-0.39523906405648734,109.9041775287094,50.30632391460052,9.604760935943514,0.05566392404704033,-0.06476007581555854,-0.0018650593256620473,-109.94433607595296,-70.06476007581556,19.998134940674337,0.37003414224935294,-0.342010338351054,-0.03680648687129662,-0.16225285747534313,0.37369580251284984,0.4623977593818247,0.0,0.0,0.0,29.473700851412815,79.62499550836576,-131.7184648424431
3,50.0,0.0,-80.0,50.0,0.0,-80.0,-45.0,0.0,-80.0,-45.0,0.0,80.0,0.0,0.0,80.0,3.1e-15,0.0,79.93603004493114,-0.19589295038957755,-0.128226891068,79.93603004493114,69.80410704961042,9.871773108932,-80.12649917231309,-0.17502718639792897,-0.2517830672969496,-80.12649917231309,69.82497281360207,9.74821693270305,0.010113488573804785,50.55859496310629,-0.27368116540179654,110.01011348857381,50.55859496310629,9.726318834598203,0.06369639523449497,-0.02739318245309688,0.11791741075072228,-109.9363036047655,-70.0273931824531,20.11791741075072,0.4444006583845258,0.06880481853280918,0.4361271480513932,-0.02478739455992307,-0.31464866689548254,-0.05133794316687956,0.0,0.0,0.0,30.052162892674637,78.5273996331754,-133.2113809638687
4,50.0,0.0,-80.0,50.0,0.0,-80.0,-45.0,0.0,-80.0,-45.0,0.0,80.0,0.0,0.0,80.0,3.1e-15,0.0,79.52801978813771,0.01533156768115329,0.10149488227659675,79.52801978813771,70.01533156768116,10.101494882276597,-80.13138172840787,0.483322004819718,-0.6413471486819725,-80.13138172840787,70.48332200481971,9.358652851318027,-0.4256921413233108,50.067945132420896,0.4729617321226889,109.57430785867669,50.067945132420896,10.47296173212269,0.021224938732132145,0.09646157109648115,0.057946679338884206,-109.97877506126787,-69.90353842890352,20.057946679338883,0.44782656416808,0.17696600806417184,-0.47099543608695604,0.1727006713672954,-0.07366870999916608,0.07280960616772003,0.0,0.0,0.0,30.309037513141135,79.38474433164498,-132.26447424973477
5,50.0,0.0,-80.0,50.0,0.0,-80.0,-45.0,0.0,-80.0,-45.0,0.0,80.0,0.0,0.0,80.0,3.1e-15,0.0,80.29967566210452,0.0058403848185780705,-0.14450965791919868,80.29967566210452,70.00584038481858,9.8554903420808,-79.99516885871424,0.010259940265639813,-0.23126555227198697,-79.99516885871424,70.01025994026564,9.768734447728013,-0.34939791798762876,50.303530895739065,-0.29357901176458756,109.65060208201237,50.303530895739065,9.706420988235413,-0.1155334279447302,-0.05683680168625405,0.08554610991622014,-110.11553342794473,-70.05683680168626,20.08554610991622,0.33484626251262495,-0.4266635361741311,0.3789796364190866,0.43921881604978774,-0.383862190017244,0.4867880518029528,0.0,0.0,0.0,29.373561418376045,78.60577710008462,-132.91640779354665
6,50.0,0.0,-80.0,50.0,0.0,-80.0,-45.0,0.0,-80.0,-45.0,0.0,80.0,0.0,0.0,80.0,3.1e-15,0.0,79.89412234421901,0.027186168759214313,-0.37097670940538563,79.89412234421901,70.02718616875921,9.629023290594615,-79.99037733573108,0.18719769919624424,-0.3088245131081071,-79.99037733573108,70.18719769919625,9.691175486891893,-0.1991622285249488,50.49833262145866,0.006536878684624825,109.80083777147505,50.49833262145866,10.006536878684624,0.09486117313459526,0.0007201395756011006,0.14273346495141992,-109.90513882686541,-69.9992798604244,20.14273346495142,-0.39820938839665976,0.2661350524247481,-0.4128911967350014,0.06521989206579581,0.307829528847294,-0.35114386058607094,0.0,0.0,0.0,30.65124334873002,79.49269135403459,-132.72727711993687
7,50.0,0.0,-80.0,50.0,0.0,-80.0,-45.0,0.0,-80.0,-45.0,0.0,80.0,0.0,0.0,80.0,3.1e-15,0.0,80.33666446614653,-0.4213431168463889,0.29795955029969745,80.33666446614653,69.57865688315361,10.297959550299698,-79.88477402393914,-0.28836062481798946,-0.5164931658611278,-79.88477402393914,69.71163937518202,9.483506834138872,0.3656885393805215,50.59776083916286,-0.04313094526811023,110.36568853938053,50.59776083916286,9.95686905473189,-0.07733632261327045,0.0069296128481285205,0.026723829004786433,-110.07733632261328,-69.99307038715187,20.026723829004787,-0.029961538203159388,0.3056197377238523,-0.12660564456538181,0.12897775147082335,0.07163396057128657,0.4744983746904272,0.0,0.0,0.0,30.47184522125842,78.75191698716966,-132.895509757689
8,50.0,0.0,-80.0,50.0,0.0,-80.0,-45.0,0.0,-80.0,-45.0,0.0,80.0,0.0,0.0,80.0,3.1e-15,0.0,79.6791353718464,-0.15267813267544827,-0.14893559848496374,79.6791353718464,69.84732186732455,9.851064401515035,-80.16041755134596,0.04740770395796319,-0.17585556132310018,-80.16041755134596,70.04740770395796,9.8241444386769,0.15994987729067744,50.27108072843873,0.2988827393033381,110.15994987729067,50.27108072843873,10.298882739303338,-0.14729346291629067,-0.02234042338074141,-0.1366442155554664,-110.1472934629163,-70.02234042338074,19.863355784444533,0.059530966119438866,-0.25580892017609336,0.09913541271287074,-0.2898879803407599,0.3223223109696892,0.44702780492903416,0.0,0.0,0.0,29.485628554368425,79.57528342000697,-132.25741581442566
9,50.0,0.0,-80.0,50.0,0.0,-80.0,-45.0,0.0,-80.0,-45.0,0.0,80.0,0.0,0.0,80.0,3.1e-15,0.0,79.5341144886378,-0.25104656545784276,0.1666196995739938,79.5341144886378,69.74895343454216,10.166619699573994,-80.1619286641325,0.1532726139809423,-0.455085636084203,-80.1619286641325,70.15327261398095,9.544914363915797,-0.30894343789533363,49.64179838678214,-0.16492912569180973,109.69105656210466,49.64179838678214,9.83507087430819,0.03803403104400316,0.020989842833704603,-0.11045001178288325,-109.961965968956,-69.9790101571663,19.889549988217116,-0.48740728653986143,-0.08179791921480917,-0.47145583414002856,0.08357696812377136,-0.240473399640331,-0.18210223598796804,0.0,0.0,0.0,29.951194703125353,78.86082424569022,-132.76377545787545
